Tiempo (s),intensidad
640,1.6241831477075902e-8
641,1.7097200314048647e-8
642,1.6450594601297263e-8
643,1.4289433116123228e-8
644,1.6106159662624967e-8
645,1.667222643269195e-8
646,1.825169908648455e-8
647,1.8080744117330997e-8
648,1.86649142912877e-8
649,1.8087748051942527e-8
650,1.9289945471982622e-8
651,1.5936465247045345e-8
652,1.5806710526963003e-8
653,1.7257675555952434e-8
654,1.406295541877405e-8
655,1.5971422557294118e-8
656,1.4119879811033969e-8
657,1.50661331056343e-8
658,1.834209759843566e-8
659,1.543263198905668e-8
660,1.8670566695263353e-8
661,1.847845258941042e-8
662,1.7017235144930826e-8
663,1.90016056187385e-8
664,1.6670310920658734e-8
665,1.2940772430415534e-8
666,1.626452933008454e-8
667,1.3134801080031934e-8
668,1.4016448963027744e-8
669,1.4300163402156868e-8
670,1.6473163161477534e-8
671,1.634063766067921e-8
672,1.583609141193063e-8
673,1.708070531178296e-8
674,1.6610121146310615e-8
675,1.5192445952191976e-8
676,1.4331171724326945e-8
677,1.6737273003004996e-8
678,1.7005824780077534e-8
679,1.542673431483154e-8
680,1.4612011320330793e-8
681,1.4877867958033222e-8
682,1.7477165548051984e-8
683,1.8452745839849246e-8
684,1.3662022618299607e-8
685,1.683137515107693e-8
686,1.7490539274244247e-8
687,1.8985703753234322e-8
688,1.782965747345663e-8
689,1.706514567719267e-8
690,1.6303535745442978e-8
691,1.7585187366716762e-8
692,1.6678392881523382e-8
693,1.7918547405274002e-8
694,1.7571708901790682e-8
695,1.7614892616930774e-8
696,1.6306298944064412e-8
697,1.577220452056401e-8
698,1.592256388313541e-8
699,1.4600831868361535e-8
700,1.3686802485836327e-8
701,1.4040762716511584e-8
702,1.4246113497261847e-8
703,1.3030887638252407e-8
704,1.2917343245477678e-8
705,1.3584035253839433e-8
706,1.0530694163443976e-8
707,1.1289897525451586e-8
708,1.399879649166663e-8
709,9.428074377753827e-9
710,1.1123703389416345e-8
711,1.146874244917035e-8
712,1.1682182862058203e-8
713,1.2061110601468861e-8
714,1.3740881679780671e-8
715,1.5639850595083594e-8
716,1.615358792813216e-8
717,1.430401642027988e-8
718,1.1626666089987755e-8
719,1.584975304995522e-8
720,1.510356260194302e-8
721,1.4991745464809265e-8
722,1.5248179647663305e-8
723,1.4833502187751119e-8
724,1.7741159484134933e-8
725,1.6625166368737763e-8
726,1.99565837959447e-8
727,1.6969068390131924e-8
728,1.8769512809014352e-8
729,1.6061699633653425e-8
730,1.8804465781258642e-8
731,1.6679383719159927e-8
732,1.910152318754139e-8
733,1.6118848002577685e-8
734,1.808571571547094e-8
735,1.718335648347158e-8
736,1.8079124687480735e-8
737,1.730822770136557e-8
738,1.960821228114588e-8
739,1.8930422199032414e-8
740,1.7679215920916542e-8
741,1.8287292021562333e-8
742,1.8625129454193116e-8
743,1.691214135900626e-8
744,1.775482516165757e-8
745,1.790673060560746e-8
746,1.7005288332725565e-8
747,1.73474642036442e-8
748,1.749157836024729e-8
749,1.772937802003621e-8
750,1.984042632933347e-8
751,1.7569592952634808e-8
752,1.9292033171769314e-8
753,1.723834626124471e-8
754,1.922618867859902e-8
755,1.720349557154347e-8
756,1.6389786639201692e-8
757,1.887685326744554e-8
758,1.635256936439488e-8
759,1.6635264096903568e-8
760,1.6024555809841365e-8
761,1.79971775009935e-8
762,1.886079523007226e-8
763,2.0100830434908145e-8
764,1.8901544800982426e-8
765,1.6743505918819868e-8
766,1.6503809423076948e-8
767,1.8223987128694117e-8
768,1.8710457206593976e-8
769,1.9306097715983387e-8
770,1.7597501058566693e-8
771,1.8748196641767046e-8
772,1.834567941171007e-8
773,1.4510236801000033e-8
774,1.7241585494691444e-8
775,1.6149519306424986e-8
776,1.2548118171520056e-8
777,1.4305011128556882e-8
778,1.5009457657589498e-8
779,1.40465865661621e-8
780,1.3906367429877787e-8
781,1.4078357846790089e-8
782,1.4965957238488333e-8
783,2.178313083663875e-8
784,1.8540301828421168e-8
785,1.8201785831393828e-8
786,1.7914817981629166e-8
787,1.596534839020618e-8
788,1.8269261828856424e-8
789,1.804559889733735e-8
790,1.5427927878982594e-8
791,1.5290345541441447e-8
792,1.6338079312781367e-8
793,1.7833052987640117e-8
794,1.7915444998572668e-8
795,1.6441275246239575e-8
796,1.5685522859510224e-8
797,1.6966165535065208e-8
798,1.6055136416116666e-8
799,1.622220928518211e-8
800,1.5873927776032975e-8
801,1.487594623320898e-8
802,1.3183265545663427e-8
803,1.5124021984925547e-8
804,1.4379010471960613e-8
805,1.3727526792178966e-8
806,1.691908997548273e-8
807,1.6495724700597546e-8
808,1.4872980207702544e-8
809,1.7942501863087633e-8
810,1.879933556360978e-8
811,1.728566133733625e-8
812,1.7966521440007068e-8
813,1.5833127170418818e-8
814,1.7945778373305247e-8
815,1.8527294291709987e-8
816,1.823967938161009e-8
817,1.7774050100540386e-8
818,1.6713753778676115e-8
819,2.1176066883896382e-8
820,1.847631253840663e-8
821,1.6884087726517896e-8
822,1.5101865568070192e-8
823,1.3555882631295546e-8
824,1.7002195280303784e-8
825,1.3810678010127634e-8
826,1.8221872352439366e-8
827,1.7626800938468157e-8
828,1.365787708697977e-8
829,1.528269690409784e-8
830,1.7666194191196886e-8
831,1.7011711149594377e-8
832,1.7579130897915536e-8
833,1.5923025844370565e-8
834,1.7025865568444012e-8
835,1.777479906692932e-8
836,1.6817289485408827e-8
837,1.6528368999336015e-8
838,1.717728415409283e-8
839,1.7907720195453538e-8
840,1.5553896331274256e-8
841,1.925109778527404e-8
842,1.761879895770432e-8
843,1.6944407994016527e-8
844,1.6521824323529502e-8
845,1.6381425836992867e-8
846,1.7849896406995908e-8
847,1.644265710069546e-8
848,1.6265158510028585e-8
849,2.0639662907530713e-8
850,1.675236010760306e-8
851,1.8061923561469982e-8
852,1.5792733253460136e-8
853,1.589171251646128e-8
854,1.3806296629253672e-8
855,1.5903499516103323e-8
856,1.502359958203823e-8
857,1.5783553983822797e-8
858,1.7014892125053422e-8
859,1.6958627464454145e-8
860,1.4415897973916236e-8
861,1.8384185775917183e-8
862,1.8294300142912396e-8
863,1.914460895771826e-8
864,2.0688942852917387e-8
865,1.8064818395896448e-8
866,1.696777903922917e-8
867,1.8030642393989914e-8
868,1.736564825315585e-8
869,1.563083936675012e-8
870,1.5234106942893e-8
871,1.6617110200201966e-8
872,1.554524961359179e-8
873,1.7441125213836022e-8
874,1.8694850650045914e-8
875,1.809322566932688e-8
876,1.596170205860083e-8
877,2.2632055528178013e-8
878,2.1168666455473583e-8
879,2.0015848260990088e-8
880,2.1262699428357356e-8
881,2.0323883650002876e-8
882,2.162276856718921e-8
883,2.2959651938470303e-8
884,1.880577345297878e-8
885,2.0592496460125842e-8
886,1.927939050143377e-8
887,2.1888953567502972e-8
888,1.844730804699193e-8
889,2.028904942002954e-8
890,1.9366819280561845e-8
891,2.0465223880647383e-8
892,1.9927554244951607e-8
893,2.1046340868825846e-8
894,2.202812336433044e-8
895,2.0790551031569805e-8
896,1.9964204047663138e-8
897,1.7075738683117463e-8
898,1.8180017628262575e-8
899,1.8804076095353118e-8
900,2.0335811144327694e-8
901,2.0753913389574865e-8
902,2.160737453934079e-8
903,2.0622556399227946e-8
904,2.1178831739136993e-8
905,2.1447812286467725e-8
906,2.168163355191793e-8
907,2.0956753253262187e-8
908,2.1804694185546595e-8
909,2.32587033728143e-8
910,2.2119346912155036e-8
911,2.122935013951083e-8
912,2.0676832042518314e-8
913,1.87686052445485e-8
