accuracy,bearing,leq_100,leq_1000,leq_10000,leq_125,leq_1250,leq_12500,leq_160,leq_1600,leq_16000,leq_200,leq_2000,leq_250,leq_2500,leq_315,leq_3150,leq_400,leq_4000,leq_500,leq_5000,leq_630,leq_6300,leq_800,leq_8000,leq_id,leq_mean,leq_utc,location_utc,marker-color,speed,geometry_wkt
9.5,84.7,29.075071334838867,22.320920944213867,22.01607894897461,31.31864356994629,21.90695571899414,21.75336265563965,26.041526794433594,22.690452575683594,23.431350708007812,26.49281883239746,21.94106674194336,26.987302780151367,23.018932342529297,24.346771240234375,24.184473037719727,24.104854583740234,24.090253829956055,23.929096221923828,22.623252868652344,22.383508682250977,38.045467376708984,22.62601661682129,34.90321731567383,12316,39.981834,1763021856747,1763021856000,#A0BABF,0.29999998,POINT Z (-75.52994471043348 10.417342367582023 -4)
10.5,91.9,27.583606719970703,22.876163482666016,22.917190551757812,30.105714797973633,22.62214469909668,21.861839294433594,25.719457626342773,23.277137756347656,23.260345458984375,26.02838134765625,23.08723258972168,27.366474151611328,23.489009857177734,26.091197967529297,24.539670944213867,25.186052322387695,24.14804458618164,24.7326602935791,23.212360382080078,23.333995819091797,38.646785736083984,23.273691177368164,35.73537063598633,12321,40.594128,1763021861748,1763021861000,#B8D6D1,0.45999998,POINT Z (-75.52996993996203 10.417344002053142 -4)
10.0,290.1,28.486759185791016,23.12712287902832,22.113821029663086,31.19027328491211,21.535621643066406,21.755002975463867,28.35647964477539,22.476118087768555,23.470121383666992,24.700571060180664,21.872821807861328,27.873538970947266,22.989168167114258,25.722299575805664,24.162015914916992,24.973844528198242,23.696901321411133,24.039085388183594,22.573345184326172,24.11005210876465,38.69693374633789,22.744953155517578,35.406314849853516,12326,40.439583,1763021866744,1763021866000,#B8D6D1,1.01,POINT Z (-75.53001184947789 10.417358544655144 -4)
10.5,309.4,27.930023193359375,21.77724838256836,22.21491241455078,30.218017578125,21.164621353149414,21.681610107421875,26.901813507080078,22.984434127807617,23.438854217529297,26.031076431274414,21.870281219482422,26.561279296875,23.332653045654297,24.48586082458496,24.20345687866211,23.804597854614258,24.200199127197266,24.29836654663086,22.501426696777344,22.437637329101562,37.502498626708984,23.225860595703125,34.5562629699707,12331,39.60941,1763021871756,1763021871000,#A0BABF,0.35999998,POINT Z (-75.53002417087555 10.417390228249133 -4)
11.5,0.0,27.576068878173828,22.374126434326172,22.442882537841797,30.14706802368164,21.47113800048828,21.937280654907227,26.443864822387695,23.839021682739258,23.491113662719727,26.290847778320312,22.13899803161621,24.646745681762695,23.485584259033203,23.824947357177734,23.680564880371094,23.459457397460938,23.59283447265625,22.49776840209961,22.806102752685547,21.990087509155273,38.286170959472656,22.424787521362305,34.907405853271484,12336,40.047596,1763021876767,1763021876000,#B8D6D1,0.0,POINT Z (-75.5300145316869 10.417381594888866 -5)
10.0,0.0,29.049755096435547,22.335247039794922,21.972700119018555,29.881208419799805,22.69806671142578,21.627788543701172,27.13929557800293,23.62146759033203,23.310462951660156,26.52012062072754,21.921730041503906,26.452787399291992,23.2735652923584,23.360198974609375,24.027523040771484,24.026803970336914,24.116727828979492,24.93573760986328,22.940061569213867,24.326326370239258,37.18026351928711,22.446434020996094,34.33731460571289,12341,39.504803,1763021881757,1763021881000,#A0BABF,0.0,POINT Z (-75.52999475039542 10.417344337329268 -7)
10.5,53.3,29.776748657226562,23.433347702026367,22.06206703186035,32.67820358276367,23.104066848754883,21.65538787841797,27.29779624938965,24.624065399169922,23.40669822692871,26.985177993774414,22.978412628173828,28.489168167114258,23.835174560546875,25.038286209106445,24.4580020904541,24.048601150512695,23.7767276763916,26.07179069519043,22.807262420654297,23.741744995117188,37.46147918701172,24.063026428222656,34.232582092285156,12346,39.811806,1763021886768,1763021887000,#A0BABF,0.52,POINT Z (-75.52999340929091 10.417351881042123 -8)
11.0,24.1,27.971412658691406,21.77461814880371,23.17145538330078,33.7511100769043,21.84136962890625,21.92194366455078,24.961977005004883,22.663862228393555,23.331979751586914,25.56292152404785,22.12929344177246,26.46799659729004,23.345684051513672,24.886123657226562,24.21396255493164,25.19548225402832,24.509597778320312,23.33256721496582,23.313745498657227,23.89805793762207,38.0516357421875,22.366722106933594,34.833560943603516,12351,40.023273,1763021891764,1763021892000,#B8D6D1,0.93,POINT Z (-75.53000723943114 10.417357790283859 -9)
11.5,292.9,28.390052795410156,22.224397659301758,21.94512367248535,31.147907257080078,22.77885627746582,21.75486183166504,26.478294372558594,24.048410415649414,23.399822235107422,26.33015251159668,22.13673210144043,25.931907653808594,23.524229049682617,24.537019729614258,24.65489959716797,23.739892959594727,24.37854766845703,24.55525779724121,22.739299774169922,23.95248031616211,38.22186279296875,22.991785049438477,34.899085998535156,12356,40.192677,1763021896756,1763021896000,#B8D6D1,1.26,POINT Z (-75.530064990744 10.417389809153974 -10)
11.5,186.1,29.786399841308594,22.816953659057617,22.50592041015625,31.598526000976562,22.172975540161133,21.769954681396484,26.11902618408203,23.15107536315918,23.38411521911621,26.387290954589844,22.389312744140625,28.294509887695312,23.400367736816406,25.617351531982422,24.379446029663086,25.254108428955078,24.245058059692383,25.407102584838867,23.16307830810547,23.21981430053711,37.48710250854492,23.61603546142578,34.470252990722656,12361,39.76612,1763021901755,1763021901000,#A0BABF,0.89,POINT Z (-75.53007069043815 10.417372458614409 -9)
