Tiempo (s),intensidad
690,1.63322116750935e-8
691,1.5065307481184017e-8
692,1.3909249581996256e-8
693,1.4386223397828412e-8
694,1.3442291222391275e-8
695,1.3895846242551355e-8
696,1.2982089533451719e-8
697,1.3617067805020616e-8
698,1.3187828780522278e-8
699,1.4068377068364661e-8
700,1.4053215304882588e-8
701,1.3455142449599546e-8
702,1.3648606094696434e-8
703,1.398741627591835e-8
704,1.3045460075147057e-8
705,1.3786715066209918e-8
706,1.2193685795073465e-8
707,1.3927257329853528e-8
708,1.3857312150008274e-8
709,1.2753241978002921e-8
710,1.2355106689556932e-8
711,1.0835763060668603e-8
712,1.3449526655891326e-8
713,1.388046450888625e-8
714,1.3461585068349388e-8
715,1.325217004841417e-8
716,1.3050720838760836e-8
717,1.4775544696560403e-8
718,1.7106690576804274e-8
719,1.5731386454802712e-8
720,1.5186405779171716e-8
721,1.4842600560218961e-8
722,1.6125864267781196e-8
723,1.4930126932074895e-8
724,1.4880207933169752e-8
725,1.4020603250894464e-8
726,1.3434236825739914e-8
727,1.6303592055957766e-8
728,1.6478823418001854e-8
729,1.5046361782163346e-8
730,1.3505106085095292e-8
731,1.5270526113257367e-8
732,1.5524005931296197e-8
733,1.6627915161720352e-8
734,1.1512058821875193e-8
735,1.32215904380462e-8
736,9.968263280566305e-9
737,1.0431938065844093e-8
738,1.0877197144400789e-8
739,1.623873520136336e-8
740,1.2127506051315512e-8
741,1.2903454655915944e-8
742,1.6054378583488358e-8
743,1.3548287376137999e-8
744,1.54241201636291e-8
745,1.5419525162032326e-8
746,1.4977964606592513e-8
747,6.245029583165467e-8
748,2.0103542852828772e-8
749,1.429831958982208e-8
750,1.0938556138071337e-8
751,1.2997984058894436e-8
752,1.7231004664597107e-8
753,1.6686951358367265e-8
754,1.7211098892383812e-8
755,1.4200227427599632e-8
756,1.8576487514133508e-8
757,1.4462054705391155e-8
758,1.94498743480597e-8
759,1.8951317168052773e-8
760,1.7178791157431675e-8
761,1.8344716308266344e-8
762,1.5994166031178046e-8
763,1.7978191411754818e-8
764,1.9477983786926767e-8
765,1.7973886710379775e-8
766,1.7038536933611383e-8
767,1.8592637416389393e-8
